"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","639","@api @regression Verify Employee PUT","STAGING","2026-08-27","passed","2026-08-27","","employee-put.spec.js","",""
"","145153","@smoke Verify Dashboard Page","QA-chromium","2026-08-27","broken","2026-08-27","","dashboard.spec.js","",""
"","1949","@api @smoke Verify Employee GET","QA","2026-08-27","passed","2026-08-27","","employee-get.spec.js","",""
"","158106","@regression Verify Employee List Page","QA-webkit","2026-08-27","broken","2026-08-27","","employee.spec.js","",""
"","209439","@regression Verify Employee List Page","STAGING-firefox","2026-08-27","broken","2026-08-27","","employee.spec.js","",""
"","214758","@regression Verify Employee List Page","QA-firefox","2026-08-27","broken","2026-08-27","","employee.spec.js","",""
"","145904","@regression Verify Employee List Page","STAGING-webkit","2026-08-27","broken","2026-08-27","","employee.spec.js","",""
"","151977","@regression Verify Employee List Page","UAT-chromium","2026-08-27","broken","2026-08-27","","login.spec.js","",""
"","791","@api @regression Verify Employee PUT","UAT","2026-08-27","passed","2026-08-27","","employee-put.spec.js","",""
"","183581","@regression Verify Employee List Page","UAT-chromium","2026-08-27","broken","2026-08-27","","employee.spec.js","",""
"","148192","@regression Verify Employee List Page","UAT-webkit","2026-08-27","broken","2026-08-27","","employee.spec.js","",""
"","69521","@regression Verify Employee List Page","QA-firefox","2026-08-27","passed","2026-08-27","","login.spec.js","",""
"","124052","@regression Verify Employee List Page","STAGING-chromium","2026-08-27","passed","2026-08-27","","login.spec.js","",""
"","154006","@regression Verify Employee List Page","STAGING-webkit","2026-08-27","broken","2026-08-27","","login.spec.js","",""
"","1900","@api @regression Verify Employee DELETE","QA","2026-08-27","passed","2026-08-27","","employee-delete.spec.js","",""
"","146460","@smoke Verify Dashboard Page","QA-webkit","2026-08-27","broken","2026-08-27","","dashboard.spec.js","",""
"","616","@api @smoke Verify Employee POST","STAGING","2026-08-27","passed","2026-08-27","","employee-post.spec.js","",""
"","161163","@regression Verify Employee List Page","QA-webkit","2026-08-27","broken","2026-08-27","","login.spec.js","",""
"","214265","@regression Verify Employee List Page","STAGING-firefox","2026-08-27","broken","2026-08-27","","login.spec.js","",""
"","204029","@regression Verify Employee List Page","UAT-firefox","2026-08-27","broken","2026-08-27","","login.spec.js","",""
"","1824","@api @regression Verify Employee DELETE","UAT","2026-08-27","passed","2026-08-27","","employee-delete.spec.js","",""
"","1754","@api @regression Verify Employee DELETE","STAGING","2026-08-27","passed","2026-08-27","","employee-delete.spec.js","",""
"","158815","@regression Verify Employee List Page","QA-chromium","2026-08-27","broken","2026-08-27","","login.spec.js","",""
"","1460","@api @regression Verify Employee PATCH","STAGING","2026-08-27","passed","2026-08-27","","employee-patch.spec.js","",""
"","2802","@api @regression Verify Employee PUT","QA","2026-08-27","passed","2026-08-27","","employee-put.spec.js","",""
"","150307","@smoke Verify Dashboard Page","UAT-chromium","2026-08-27","broken","2026-08-27","","dashboard.spec.js","",""
"","209746","@smoke Verify Dashboard Page","STAGING-firefox","2026-08-27","broken","2026-08-27","","dashboard.spec.js","",""
"","207674","@smoke Verify Dashboard Page","UAT-firefox","2026-08-27","broken","2026-08-27","","dashboard.spec.js","",""
"","89297","@regression Verify Employee List Page","QA-chromium","2026-08-27","passed","2026-08-27","","employee.spec.js","",""
"","168270","@regression Verify Employee List Page","STAGING-chromium","2026-08-27","broken","2026-08-27","","employee.spec.js","",""
"","182758","@smoke Verify Dashboard Page","QA-firefox","2026-08-27","broken","2026-08-27","","dashboard.spec.js","",""
"","1089","@api @regression Verify Employee PATCH","QA","2026-08-27","passed","2026-08-27","","employee-patch.spec.js","",""
"","1881","@api @smoke Verify Employee GET","UAT","2026-08-27","passed","2026-08-27","","employee-get.spec.js","",""
"","147201","@regression Verify Employee List Page","UAT-webkit","2026-08-27","broken","2026-08-27","","login.spec.js","",""
"","149197","@smoke Verify Dashboard Page","UAT-webkit","2026-08-27","broken","2026-08-27","","dashboard.spec.js","",""
"","215495","@regression Verify Employee List Page","UAT-firefox","2026-08-27","broken","2026-08-27","","employee.spec.js","",""
"","156324","@smoke Verify Dashboard Page","STAGING-webkit","2026-08-27","broken","2026-08-27","","dashboard.spec.js","",""
"","1942","@api @smoke Verify Employee POST","QA","2026-08-27","passed","2026-08-27","","employee-post.spec.js","",""
"","2059","@api @smoke Verify Employee GET","STAGING","2026-08-27","passed","2026-08-27","","employee-get.spec.js","",""
"","150478","@smoke Verify Dashboard Page","STAGING-chromium","2026-08-27","broken","2026-08-27","","dashboard.spec.js","",""
"","1140","@api @smoke Verify Employee POST","UAT","2026-08-27","passed","2026-08-27","","employee-post.spec.js","",""
"","463","@api @regression Verify Employee PATCH","UAT","2026-08-27","passed","2026-08-27","","employee-patch.spec.js","",""
